Year,runsize_obs
2001,23930.844299557746
2002,33704.73819746173
2003,24694.28079583375
2004,29739.34610995531
2005,15501.509390697165
2006,18672.134706384924
2007,16424.553619656195
2008,14884.13686366242
2009,12635.014800012525
2010,19146.54504583065
2011,15558.59818364159
2012,18236.60513600562
2013,21582.436065169983
2014,19785.053518400113
2015,28462.504643310924
2016,27507.48785164071
2017,12045.517618797154
2018,17888.126910199415
2019,11182.893550181714
2020,16835.521689182555
2021,12114.11108963529
2022,15111.280836634114
